Nom_produit_ldlc,Nom_produit_topachat,Prix (€) ldlc,Prix (€) topachat,Prix Moyen (€),Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Longueur,Largeur,Epaisseur,Type du GPU
msi geforce rtx 4080 gaming x trio 16g,msi geforce rtx 4080 gaming x trio (16 go),1569.95,1549.99,1559.97,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,337.0,140.0,67.0,geforce
powercolor fighter amd radeon rx 6700 xt 12gb gddr6,powercolor radeon rx 6700 xt fighter ,519.95,499.99,509.97,radeon rx 6700,powercolor,12,gddr6,pci express 4.0,228.0,109.0,39.0,radeon
pny geforce rtx 3060 ti 8gb verto dual fan lhr,pny geforce rtx 3060 ti verto dual fan (lhr),519.95,509.99,514.97,geforce rtx 3060,pny,8,gddr6,pci express 4.0,247.0,118.0,39.0,geforce
pny geforce rtx 3050 8gb verto dual fan lhr,pny geforce rtx 3050 verto (lhr),369.95,359.99,364.97,geforce rtx 3050,pny,8,gddr6,pci express 4.0,229.0,114.0,44.0,geforce
msi geforce rtx 3060 ti ventus 2x 8g ocv1 lhr,msi geforce rtx 3060 ti ventus 2x 8g ocv1 (lhr),599.95,579.99,589.97,geforce rtx 3060,msi,8,gddr6,pci express 4.0,235.0,124.0,42.0,geforce
gigabyte geforce rtx 3050 gaming oc 8g (lhr),gigabyte geforce rtx 3050 gaming oc (lhr),419.95,399.99,409.97,geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,282.0,117.0,41.0,geforce
gigabyte geforce rtx 3050 eagle oc 8g (lhr),gigabyte geforce rtx 3050 eagle oc (lhr),389.95,379.99,384.97,geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,213.0,120.0,41.0,geforce
gainward geforce rtx 4080 phantom gs,gainward geforce rtx 4080 phantom gs (16 go),1519.94,1499.99,1509.9650000000001,geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,356.0,150.0,71.0,geforce
gigabyte aorus radeon rx 6400 eagle 4g,gigabyte radeon rx 6400 eagle ,219.95,209.99,214.97,radeon rx 6400,gigabyte,4,gddr6,pci express 4.0,192.0,117.0,38.0,radeon
zotac geforce rtx 4080 trinity oc,zotac geforce rtx 4080 trinity oc (16 go),1579.94,1559.99,1569.9650000000001,geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,356.0,150.0,71.0,geforce
