Nom_produit,Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Prix (€),Site Internet,Longueur,Largeur,Epaisseur,Type du GPU
asus tuf geforce rtx 3070 o8g gaming v2 (lhr),geforce rtx 3070,asus,8,gddr6,pci express 4.0,819.95,ldlc.com,299.9,126.9,51.7,geforce
evga geforce rtx 2060 sc,geforce rtx 2060,evga,6,gddr6,pci express 3.0,369.95,ldlc.com,189.89,111.15,-1.0,geforce
evga geforce rtx 3070 ftw3 ultra (lhr),geforce rtx 3070,evga,8,gddr6,pci express 4.0,719.95,ldlc.com,300.0,136.75,-1.0,geforce
gainward geforce rtx 3050 ghost (lhr),geforce rtx 3050,gainward,8,gddr6,pci express 4.0,374.95,ldlc.com,245.0,119.0,-1.0,geforce
gainward geforce rtx 3060 ghost (lhr),geforce rtx 3060,gainward,12,gddr6,pci express 4.0,434.95,ldlc.com,245.0,119.0,-1.0,geforce
gainward geforce rtx 3060 pegasus (lhr),geforce rtx 3060,gainward,8,gddr6,pci express 4.0,369.95,ldlc.com,170.0,125.0,-1.0,geforce
gainward geforce rtx 3060 ti ghost (lhr),geforce rtx 3060,gainward,8,gddr6,pci express 4.0,549.95,ldlc.com,247.0,120.0,-1.0,geforce
gainward geforce rtx 4070 ti phantom reunion,geforce rtx 4070,gainward,12,gddr6x,pci express 4.0,999.95,ldlc.com,314.0,137.0,60.0,geforce
gainward geforce rtx 4080 phantom gs,geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,1519.94,ldlc.com,356.1,150.1,71.4,geforce
gainward geforce rtx 3080 phoenix (lhr),geforce rtx 3080,gainward,10,gddr6x,pci express 4.0,929.95,ldlc.com,294.0,112.0,60.0,geforce
gainward geforce rtx 4090 phantom gs,geforce rtx 4090,gainward,24,gddr6x,pci express 4.0,2079.95,ldlc.com,329.4,141.6,69.7,geforce
gigabyte aorus geforce rtx 3070 ti master 8g (lhr),geforce rtx 3070,gigabyte,8,gddr6x,pci express 4.0,869.95,ldlc.com,324.0,142.0,70.0,geforce
gigabyte aorus geforce rtx 4080 16gb xtreme waterforce wb,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1879.96,ldlc.com,235.0,169.0,29.0,geforce
gigabyte aorus geforce rtx 4090 master 24g,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,2249.95,ldlc.com,358.5,162.8,75.1,geforce
gigabyte aorus radeon rx 6400 eagle 4g,radeon rx 6400,gigabyte,4,gddr6,pci express 4.0,219.95,ldlc.com,192.0,117.0,38.0,radeon
gigabyte geforce rtx 3050 eagle oc 8g (lhr),geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,389.95,ldlc.com,213.0,120.0,41.0,geforce
gigabyte geforce rtx 3050 gaming oc 8g (lhr),geforce rtx 3050,gigabyte,8,gddr6,pci express 4.0,419.95,ldlc.com,282.0,117.0,41.0,geforce
gigabyte geforce rtx 3060 eagle oc 12g (rev. 2.0) (lhr),geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,449.95,ldlc.com,242.0,124.0,41.0,geforce
gigabyte geforce rtx 3060 ti eagle oc 8g (rev. 2.0) (lhr),geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,549.95,ldlc.com,242.0,124.0,41.0,geforce
gigabyte geforce rtx 3060 ti gaming oc 8g (rev. 2.0) (lhr),geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,599.95,ldlc.com,282.0,117.0,41.0,geforce
gigabyte geforce rtx 3060 ti vision oc 8g (rev. 2.0) (lhr),geforce rtx 3060,gigabyte,8,gddr6,pci express 4.0,569.95,ldlc.com,281.0,115.0,40.0,geforce
gigabyte geforce rtx 4070 ti eagle oc 12g,geforce rtx 4070,gigabyte,12,gddr6x,pci express 4.0,1049.95,ldlc.com,301.0,136.0,58.0,geforce
gigabyte geforce rtx 4070 ti gaming oc 12g,geforce rtx 4070,gigabyte,12,gddr6x,pci express 4.0,1099.94,ldlc.com,336.0,140.0,58.0,geforce
gigabyte geforce rtx 4080 aero oc 16g,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1629.95,ldlc.com,342.0,150.0,75.0,geforce
gigabyte geforce rtx 4080 eagle oc 16g,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1569.95,ldlc.com,342.0,150.0,70.0,geforce
gigabyte geforce rtx 4080 gaming oc 16g,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1549.94,ldlc.com,342.0,150.0,75.0,geforce
gigabyte geforce rtx 4090 gaming oc 24g,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,2329.94,ldlc.com,340.0,150.2,75.2,geforce
gigabyte gt 1030 low profile d4 2g,geforce gt 1030,gigabyte,2,ddr4,pci express 3.0,119.95,ldlc.com,149.9,68.9,14.7,geforce
gigabyte radeon rx 6650 xt gaming oc 8g,radeon rx 6650,gigabyte,8,gddr6,pci express 4.0,379.96,ldlc.com,282.0,115.0,50.0,radeon
gigabyte radeon rx 6750 xt gaming oc 12g,radeon rx 6750,gigabyte,12,gddr6,pci express 4.0,549.95,ldlc.com,281.0,115.0,49.0,radeon
gigabyte geforce rtx 3060 gaming oc 12g (rev 2.0) (lhr),geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,479.95,ldlc.com,282.0,117.0,41.0,geforce
gigabyte geforce rtx 3060 vision oc 12g (rev. 2.0) (lhr),geforce rtx 3060,gigabyte,12,gddr6,pci express 4.0,489.95,ldlc.com,280.0,116.0,41.0,geforce
gigabyte geforce rtx 3070 ti gaming oc 8g (lhr),geforce rtx 3070,gigabyte,8,gddr6x,pci express 4.0,799.96,ldlc.com,320.0,129.0,55.0,geforce
gigabyte radeon rx 6800 gaming oc 16gb,radeon rx 6800,gigabyte,16,gddr6,pci express 4.0,699.95,ldlc.com,286.0,112.0,58.0,radeon
gigabyte aorus geforce rtx 4080 16gb master,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1769.95,ldlc.com,357.0,163.0,75.0,geforce
gigabyte aorus geforce rtx 4080 16gb xtreme waterforce,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1799.95,ldlc.com,236.0,146.0,40.0,geforce
